publishedAt,authorDisplayName,textDisplay,likeCount
2024-08-20T00:26:02Z,@rifananurulsabilah1294,"emang susah ya kalo ngomongin setan sama yg logika nya lumayan pinter. kebanyakan positif nya, apa terlalu skeptis ya si Sandy..😅😅<br>dan justru setan/hantu malah males gangguin orang yg ga perduli dan ga pernah takut sama hantu. kaya si Sandy ini 😂",0
2024-08-19T14:46:00Z,@ur3tch._189,BOTI,1
2024-08-19T11:27:13Z,@aluranimasii,"Sandy kuyang itu bukan hantu, tapi manusia yg punya ilmu hitam, biasanya suka nyari mangsa ibu hamil. Dan badannya si kuyang sering di umpetin di balik pintu",0
2024-08-19T08:23:36Z,@KARENGRACIASANGER,sangat aneh😑,0
2024-08-19T05:22:26Z,@user-pj1ii6tg3x,Kuntilanak-cewek<br>Kuntilanak merah -cewek<br>Kuntilaki -cowok,0
2024-08-19T04:21:48Z,@arini-ng,Hadir❤❤,0
2024-08-19T04:10:19Z,@annyeonggogochichi,Sandy ini mirip personil sungjong INFINITE,0
2024-08-19T02:34:54Z,@auliahafsah7928,"2x ngeliat kesurupan. pertama kesurupan massal di sma sampe dipulangin, ke2 di kampus gara gara ada acara sampe malem, trs temenku tiba tiba teriak nyuruh semua orang pulang😂",0
2024-08-19T01:57:15Z,@tikachanmedok,"Aku jg pernah ada pengalaman, 2010-2011 an di Brawijaya gerbang teknik pas magrib sepulang latihan karate ,, aku plg jalan lewat gerbang itu sama temenku, aku liat mbak2 baju putih pake selendang putih disampirin di rambutnya yg panjang, pas aku Tanya temenku “ kok ada mbak2 di situ sih” temenku bilang gak ada, pas deket berubah jd pohon kamboja kecil dong 😂😂😂😅😅😅 aku anggap saat itu aku salah liat 😂😂",0
2024-08-18T22:25:55Z,@nazwaauliaputrigunawan7176,sandy pacar awa teryata sandy umur 19 tahun ❤,0
2024-08-18T14:14:50Z,@babybunn1677,"Jadi inget dulu pas maba aku ada wawancara gitu, nah tbtb ada bapa bapa masuk wawancarain aku panjang lebar. Ya aku santuy aja mungkin dia dosen di kampus itu, terus pak dosen itu tbtb bilang oh saya salah ruangan terus keluar sampe ga lama dosen yang harusnya wawancara aku masuk. Pas udah lama jadi mahasiswa aku baru sadar ga pernah ada dosen dengan ciri ciri itu di kampus (:",0
2024-08-18T13:26:50Z,@arvinirsyadsyafiq5590,cewe gua genit banget sama sandy,0
2024-08-18T12:03:21Z,@skyy-vv8lh,&quot;aku mau jadi apa ya hari ini&quot; bener bener bjir 😭,0
2024-08-18T10:24:39Z,@user-vs6lt2vo3g,Sandy coba senyum nya dong,0
2024-08-18T09:31:26Z,@kireygrayvicaa,"Pernah juga kejadian di akuuu😭<br>Gedung fakultasku tuh ada 3 lantai. Pojok paling kanan dan pojok paling kiri tuh tangga bagian luar yg cukup lebar. Di tengah2nya ada tangga utama gedung. Nah, aku pernah ada kelas malam jam 6 sore sampe jam 8 malam. Kelasnya ada di lantai 3 pojok kanan. Kayaknya cuma kelasku doang deh yg kelas malam, idk. Waktu itu aku dan temen2ku sekelas lagi fokus dengerin dosen. Kelasnya tuh luas banget dan banyak kursinya sampe belakang banget deket jendela. Jendela juga ada teralisnya dan tertutup permanen jadi gak bisa dibuka tutup gitu. Satu kelas cuma keisi separuh aja, jadi gak full sampe belakang deket jendela. Nah tiba-tiba jendela tu ada yg ngetuk 3x. Semua temenku ngeh termasuk aku juga dan langsung noleh ke belakang. Beberapa detik kemudian hening, dosenku juga ikut diem. Aku tatap2an sama temen sebelahku karena aku takut nanti malah dosenku yg horor wkwk sampe kata dosenku gini, &quot;gakpapaa udah biasa ya itu.&quot; Sambil ketawa. Itu terjadi 2x tapi yang kedua kalinya temen2ku pada gak peduli wkwk mungkin karena takut juga kalo kenotice. Yakali ada orang yg iseng ketuk jendela malam malam di lantai 3 lagi. Dan di luar jendela tu gak ada teras, misal ada orang iseng ya harus manjat tangga dulu. Setelah kelas, temen2ku pada lari semua buru buru pulang wkwk",0
2024-08-18T07:57:26Z,@dhivanurisnaeni9047,lucu bgt sendi,0
2024-08-18T07:23:56Z,@user-ey7pn3kj5s,Dari kemarin mau nonton tapi takut sama tamnailnyaaa,1
2024-08-18T07:01:59Z,@saturnandMay,DISINI SANDY NGAKAK BGT JIR 😭,1
2024-08-17T13:26:03Z,@user-rk8go6ju5g,"Aku pernah waktu sekolah jam 9 pagi, tiba2  ada kakak kelas yg sedang di mushola teriak seperti kesakitan karna kami penasaran saat jalan ke arah mushola terdengar teriakan susulan dari arah asrama yang gak lama dari teriaman kedua di sambut teriakan sekitar 5 orang<br>Saat kami tanya kakak kelas yg lain ternyata yang teriak itu kesurupan",0
2024-08-17T12:59:14Z,@billysebastian9920,Dia siapa? …. (Serius nanya),0
2024-08-17T12:31:31Z,@TheJalal,"Takut kagak, ngakak iya ngeliat reaksi mereka 😂",0
2024-08-17T12:28:52Z,@azkamanzilah6926,konten horor ❎❎❎❎ konten komedi ✅✅✅✅ banyakan ngakaknya dari pada merindingnya,0
2024-08-17T11:20:13Z,@watarisa,seru nonton ginian sambil makan,0
2024-08-17T08:43:57Z,@InadinNafanah,that &quot;hantu indo variatif banget ya&quot;😭,0
2024-08-17T08:41:08Z,@Tyaskecil-bd6et,Kuntilanak cowok 😮😮😮 pleaseee sandy,0
2024-08-17T08:39:35Z,@FikriArkan-kg4di,ka aku punya video penampakan dari temen ku,0
2024-08-17T07:51:23Z,@tsanialm,Ngakak 😭😭😭,0
2024-08-17T07:46:10Z,@user-dm7yo9kx9g,"Sepikiran ama Sandy, hantu indo variatif😂😂😂",0
2024-08-17T07:44:40Z,@user-dm7yo9kx9g,Ama Sandy jd logis😭❤️,0
2024-08-17T05:44:36Z,@ly_yurae,Plis sandy buat konten youtube tips belajar,1
2024-08-17T05:36:39Z,@ly_yurae,Ngakak banget 😭,0
2024-08-17T05:22:38Z,@MerienSavira-cf6uk,"Aku salfok sama foto antrum, yang dibingkai pas di blkang kk nessie. Kk, lu gak nyembah setan kan ?",0
2024-08-17T04:55:26Z,@irnawahyuni1667,"Ngakak banget pas ngomongin kuntilanak cowok, Sandy bilang &quot;pocong cowok ada ga pocong cowok?&quot;. Trus Ka Nessie bilang &quot;pocong kan bisa apa aja.&quot; 😭😭😭🤏🤏 Tapi sepersekian detik aku gaheran dengan pertanyaan Sandy, karna biasanya pocong emang diperanin sama cowok, padahal dipikirpikir ya bisa cowok bisa cewek kan ya.😂",0
2024-08-17T04:51:05Z,@akiluaayazamtuc9272,Krn sandy cerita nya jd ngak serem😂 malah ada cerita yg jd B aja.. 😆🙏🏻,0
2024-08-17T03:20:06Z,@aurigayeshabelma1626,"emmm aku juga pengen cerita deh, ntah ya akan ada yang ga percaya atau gimana. tapi, aku penasaran kira kira yang aku dan adek aku alamin ini ada istilahnya secara psikologi ga sih? Jadi, waktu itu adek aku sama aku lagi duduk di ruang tamu, adek aku juga udah gede kok SMP kelas 1 dan aku disitu SMK kelas 2. Di ruang tamu itu posisinya aku duduk disofa deket pintu yang kebuka dan adek aku duduk disofa sebrang aku. Aku sama dia lagi sibuk main hp masing kan, secara bersamaan kita berdua kaget sama penampakan bayangan item tapi ada matanya gitu ngintip dari pintu. kita nengoknya itu barengan dan sadar barengan kaget juga bareng kwkwk aneh tapi lucu sih",0
2024-08-17T02:14:11Z,@pittyshy7707,"fyi, kuyang bukan hantu tp lebih ke manusia yg ikut ilmu hitam",0
2024-08-16T11:44:10Z,@Lisdalis-br4nr,kak neesie collab kak nanad plisss,0
2024-08-16T09:57:55Z,@michaelraditya4738,jadi kepikiran di gedung DPR pernah kesurupan massal ga ya,1
2024-08-16T09:39:03Z,@alyacute8160,Kak aku punya cerita horror<br><br>                                                                                           Judulnya=annabelle<br>Jadi kan aku lagi main basket kan sama sepupu aku yang namanya kinari trus aku kan lagi minum di rumah dan aku lanjut main basket sama kinari dan kita haus jadi kita minum berdua dehh trus aku bilang kayak gini &quot;kin kok aku ngerasa ada 4 anak perempuan padahal dirumah ini cuman ada 3 anak perempuan&quot; <b>aslinya ada tiga anak perempuan ya guys</b> kinari bilang &quot;iya ihh&quot; aku bilang &quot;kok aku ngerasa namanya itu annabelle&quot; kinari say&quot;iya betul bgtt tadi juga pas kamu minum aku ngedenger ada yang teriak² annaa annaaa&quot; dan juga anehnya kan kita kan <br>Juga suka art and craft trus pas kita art and craft pakek kertas kinari kan taruh  hasil kreasinya di sofa dia tinggalin tuh hasil kreasinya dan pas dia balik mau ngambil kreasinya itu udah robek! Padahal kan gak mungkin ada yang mau ngerusakin kerajinan oranggg <br><br>                                                                                 ~ DAN TAMAT~,0
2024-08-16T08:09:29Z,@muthiawibianti,"Sannn nnnnnnnnnnn, berharap bggt punya anak like a sandy ygv pasti sholeh 😇😍aamiin",0
2024-08-16T07:18:18Z,@arina0250,Sandy orangnya selalu aja bikin ketawa padahal diundang KA Nessie 😭😭😭😭,0
2024-08-16T06:38:07Z,@Saadah1803,"Kak ness, klo kk undang maxwell, aku subscribe nanti 😇❤",0
2024-08-16T05:50:55Z,@zia-s3t,mybe lisa it krn berisik kali ya?? jadi diikutin or diganggu gtuu,0
2024-08-16T05:40:05Z,@AlinBhardhwaj,"Di indo aku ga berani kluar mlm di atas jam 9, si sgp jam 12 aku msih keluyuran ke giant jalan kaki lwatin blok2 😂😂😂 aku meyakini di sgp ga ada hantu😂😂pdhl wktu di agency diisengin mr black 🤣🤣",1
2024-08-16T05:42:03Z,@AlinBhardhwaj,Bahkan kuping aku di jiwir2 posisi lagi slepcall vc 😂😂,0
2024-08-16T04:34:02Z,@emafitriani2687,Rata2 orang pinter tu nyebelin gak sih😢,0
2024-08-16T07:53:46Z,@royalT-ara,kenapa?,0
2024-08-16T02:46:47Z,@minachikazami3850,"Menurutku kuyang itu manusia yang mempelajari ilmu hitam, bahkan orang yang tidak bisa melihat jin atau pun setan, tetap bisa melihat mereka.",0
2024-08-16T00:40:45Z,@fvb1233,hahaha,0
2024-08-15T20:26:53Z,@alfiajung,"Sandy blg kuntilanak cowok, rambut panjang, dibayanganku Keanu😭😭😭🙏🏻",1
